epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.746,1.71196,3.72565,1.48065,0.00532,0.32293,0.03894,0.01745,1.38474,3.85842,1.18436,0.00015719,0.00015719,0.00015719
2,319.663,1.47389,2.26339,1.25148,0.01,0.61478,0.07308,0.04196,1.36793,3.46259,1.14251,0.000315655,0.000315655,0.000315655
3,470.259,1.4432,1.82658,1.22376,0.00994,0.69839,0.17791,0.10166,1.35384,3.2936,1.14935,0.000460538,0.000460538,0.000460538
4,640.077,1.40879,1.65417,1.21894,0.8021,0.10783,0.2968,0.14814,1.47333,3.21811,1.25194,0.00059184,0.00059184,0.00059184
5,836.416,1.38862,1.54979,1.2388,0.5209,0.08451,0.32642,0.15975,1.5835,2.90242,1.3195,0.000709561,0.000709561,0.000709561
6,1013.96,1.37087,1.49513,1.21758,0.46776,0.27005,0.35146,0.19329,1.49064,2.74621,1.27631,0.000813701,0.000813701,0.000813701
7,1196.34,1.341,1.35688,1.15257,0.51968,0.28298,0.37066,0.20833,1.50754,2.45119,1.30725,0.00090426,0.00090426,0.00090426
8,1320.9,1.32094,1.33899,1.19444,0.51193,0.41726,0.44652,0.24432,1.47188,2.3287,1.27773,0.000981237,0.000981237,0.000981237
9,1493.18,1.28756,1.26856,1.1389,0.62896,0.58882,0.60238,0.34227,1.44768,1.79764,1.25287,0.000976293,0.000976293,0.000976293
10,1660.64,1.30976,1.21299,1.16751,0.59848,0.68743,0.59254,0.33478,1.49545,1.80728,1.31098,0.000919704,0.000919704,0.000919704
11,1858.4,1.30551,1.22896,1.1818,0.64277,0.61173,0.63656,0.34889,1.50311,1.5464,1.29324,0.000863116,0.000863116,0.000863116
12,2043.57,1.29079,1.17702,1.1687,0.7712,0.6372,0.71189,0.39358,1.45762,1.35195,1.27525,0.000806528,0.000806528,0.000806528
13,2204.76,1.24132,1.17981,1.1471,0.66901,0.64817,0.66351,0.36193,1.43921,1.40078,1.23349,0.000749939,0.000749939,0.000749939
14,2373.24,1.23685,1.1102,1.14264,0.71913,0.65259,0.70393,0.38593,1.44583,1.35304,1.26985,0.000693351,0.000693351,0.000693351
15,2526.45,1.20805,1.08296,1.1223,0.79183,0.6504,0.72336,0.42058,1.3869,1.24498,1.2254,0.000636762,0.000636762,0.000636762
16,2737.76,1.15933,1.0496,1.10657,0.78135,0.63117,0.70457,0.4241,1.37685,1.38546,1.20701,0.000580174,0.000580174,0.000580174
17,2936.82,1.13015,1.02111,1.08994,0.77399,0.65133,0.69097,0.41007,1.36987,1.177,1.23427,0.000523586,0.000523586,0.000523586
18,3089.73,1.12597,0.98062,1.10725,0.73302,0.68886,0.703,0.42629,1.3432,1.16026,1.20427,0.000466997,0.000466997,0.000466997
19,3249.2,1.12066,0.97518,1.08743,0.69356,0.69511,0.70607,0.41382,1.35738,1.15147,1.19125,0.000410409,0.000410409,0.000410409
20,3399.69,1.07976,0.94058,1.07047,0.72866,0.65054,0.68463,0.40441,1.34588,1.12256,1.18571,0.00035382,0.00035382,0.00035382
21,3575.36,1.07604,0.9229,1.0736,0.80892,0.64171,0.73443,0.43748,1.35956,1.09666,1.20842,0.000297232,0.000297232,0.000297232
22,3744.09,1.09099,0.91075,1.06603,0.86675,0.62877,0.74447,0.4388,1.35801,1.08884,1.20715,0.000240644,0.000240644,0.000240644
23,3925.79,1.05939,0.89787,1.06625,0.71117,0.70288,0.73483,0.43921,1.35689,1.07303,1.21022,0.000184055,0.000184055,0.000184055
24,4078.8,1.01727,0.84523,1.03265,0.74048,0.68613,0.73437,0.43854,1.34964,1.0576,1.19265,0.000127467,0.000127467,0.000127467
25,4239.44,0.99898,0.84368,1.03329,0.72768,0.70189,0.74206,0.44614,1.3399,1.03813,1.18715,7.08784e-05,7.08784e-05,7.08784e-05
